Название,Ближайшее метро,"Расстояние до центра, км","Цена за квадратный метр, руб",Количество комнат,Этаж,Количество этажей в доме,"Площадь квартиры, м^2","Жилая площадь, м^2","Площадь кухни, м^2","Цена, руб"
"Продажа 3-комнатной квартиры 67,1м², 9/14этаж",Минская,"•до центра 8,9 км",566170₽/м²,3-комнатная,9,14,"67,1м²","35,1м²",7м²,37990000
"Продажа 2-комнатной квартиры 49,3м², 30/41этаж",Киевская,"•до центра 5,6 км",750000₽/м²,,,,,,,36960000
"Продажа 1-комнатной квартиры 43,3м², 8/15этаж",Раменки,•до центра 10 км,635104₽/м²,1-комнатная,8,15,,,,27500000
"Продажа 2-комнатной квартиры 58,2м², 9/41этаж",Киевская,"•до центра 5,6 км",669500₽/м²,2-комнатная,9,41,,,,38951510
"Продажа квартиры-студии 37,4м², 8/12этаж",Минская,"•до центра 6,9 км",401070₽/м²,,,,,,,15000000
"Продажа 4-комнатной квартиры 110,1м², 13/56этаж",Минская,"•до центра 9,4 км",369418₽/м²,4-комнатная,13,56,"110,1м²","71,4м²","6,1м²",40672890
"Продажа 2-комнатной квартиры 69,5м², 23/29этаж",Аминьевская,"•до центра 11,2 км",547086₽/м²,,,,"69,5м²","47,7м²",23 из 29,38022508
"Продажа квартиры-студии 25,5м², 12/52этаж",Минская,"•до центра 9,5 км",562817₽/м²,,,,,,,14351833
"Продажа многокомнатной квартиры 183м², 4/22этаж",Ломоносовский проспект,"•до центра 8,4 км",628415₽/м²,5-комнатная,4,22,183м²,90м²,23м²,115000000
"Продажа 2-комнатной квартиры 42м², 2/5этаж",Ломоносовский проспект,"•до центра 6,9 км",464286₽/м²,2-комнатная,2,5,42м²,27м²,6м²,19500000
"Продажа 4-комнатной квартиры 150м², 11/53этаж",Ломоносовский проспект,"•до центра 6,8 км",633333₽/м²,,,,,,,95000000
"Продажа многокомнатной квартиры 136,9м², 8/12этаж",Минская,"•до центра 8,8 км",745069₽/м²,5-комнатная,8,12,"136,9м²",86м²,18м²,102000000
"Продажа 1-комнатной квартиры 52,5м², 3/18этаж",Ломоносовский проспект,•до центра 9 км,523810₽/м²,1-комнатная,3,18,"52,5м²","32,5м²",11м²,27500000
"Продажа 2-комнатной квартиры 64,1м², 2/10этаж",Мичуринский проспект,"•до центра 11,2 км",571622₽/м²,2-комнатная,2,10,"64,1м²","28,7м²","20,8м²",36641000
"Продажа 3-комнатной квартиры 78м², 3/37этаж",Аминьевская,"•до центра 11,1 км",365385₽/м²,3-комнатная,3,37,78м²,40м²,10м²,28500000
"Продажа 4-комнатной квартиры 95м², 17/31этаж",Аминьевская,"•до центра 11,5 км",421053₽/м²,4-комнатная,17,31,95м²,63м²,15м²,40000000
"Продажа 4-комнатной квартиры 155,2м², 5/11этаж",Мичуринский проспект,•до центра 11 км,754897₽/м²,4-комнатная,5,11,"155,2м²",87м²,"14,7м²",117160000
"Продажа 3-комнатной квартиры 107м², 2/17этаж",Раменки,"•до центра 9,7 км",546729₽/м²,3-комнатная,2,17,,,,58500000
"Продажа 3-комнатной квартиры 183м², 2/19этаж",Университет,"•до центра 8,9 км",1092896₽/м²,3-комнатная,2,19,183м²,110м²,25м²,200000000
"Продажа 3-комнатной квартиры 93,4м², 23/50этаж",Мичуринский проспект,"•до центра 11,2 км",518100₽/м²,,,,,,,48390540
"Продажа 3-комнатной квартиры 98,5м², 6/27этаж",Аминьевская,"•до центра 11,3 км",456853₽/м²,3-комнатная,6,27,"98,5м²","51,3м²","18,8м²",45000000
"Продажа 1-комнатной квартиры 47,3м², 33/50этаж",Мичуринский проспект,"•до центра 11,2 км",504800₽/м²,,,,,,,23877040
"Продажа 3-комнатной квартиры 77м², 12/51этаж",Раменки,"•до центра 10,7 км",649351₽/м²,3-комнатная,12,51,,,,50000000
"Продажа 3-комнатной квартиры 121м², 27/36этаж",Минская,"•до центра 8,5 км",545455₽/м²,,,,,,,66000000
"Продажа многокомнатной квартиры 212м², 14/25этаж",Аминьевская,"•до центра 11,2 км",450000₽/м²,5-комнатная,14,25,212м²,84м²,"17,8м²",95400000
"Продажа 2-комнатной квартиры 63м², 30/35этаж",Аминьевская,"•до центра 11,1 км",571429₽/м²,,,,63м²,16м²,30 из 35,36000000
"Продажа 3-комнатной квартиры 59м², 5/9этаж",Раменки,"•до центра 10,4 км",399831₽/м²,3-комнатная,5,9,59м²,"42,2м²","6,7м²",23590000
"Продажа 2-комнатной квартиры 92,2м², 12/14этаж",Минская,"•до центра 8,7 км",703037₽/м²,2-комнатная,12,14,"92,2м²","30,3м²","32,7м²",64820000
"Продажа 2-комнатной квартиры 78,5м², 3/22этаж",Ломоносовский проспект,"•до центра 8,8 км",300000₽/м²,,,,"78,5м²",45м²,25м²,23550000
"Продажа 1-комнатной квартиры 38,7м², 3/41этаж",Аминьевская,•до центра 11 км,452196₽/м²,1-комнатная,3,41,"38,7м²","18,8м²","8,3м²",17500000
"Продажа 4-комнатной квартиры 110,9м², 43/56этаж",Минская,"•до центра 9,4 км",402894₽/м²,,,,,,,44680917
"Продажа 4-комнатной квартиры 218м², 6/38этаж",Минская,"•до центра 8,5 км",504587₽/м²,4-комнатная,6,38,218м²,129м²,22м²,110000000
"Продажа 3-комнатной квартиры 102,2м², 5/12этаж",Минская,"•до центра 8,8 км",651076₽/м²,3-комнатная,5,12,"102,2м²","42,5м²",27м²,66540000
"Продажа 4-комнатной квартиры 136м², 6/14этаж",Минская,"•до центра 8,8 км",646326₽/м²,4-комнатная,6,14,136м²,90м²,15м²,87900345
"Продажа квартиры-студии 28м², 10/41этаж",Мичуринский проспект,"•до центра 11,1 км",485714₽/м²,,,,,,,13600000
"Продажа многокомнатной квартиры 453м², 20/38этаж",Ломоносовский проспект,"•до центра 8,4 км",1092120₽/м²,6-комнатная,20,38,,,,494730500
"Продажа 1-комнатной квартиры 27м², 6/14этаж",Минская,"•до центра 8,8 км",544444₽/м²,1-комнатная,6,14,,,,14700000
"Продажа 3-комнатной квартиры 94,3м², 30/33этаж",Мичуринский проспект,"•до центра 11,2 км",501900₽/м²,,,,,,,47329170
"Продажа 2-комнатной квартиры 68,6м², 12/13этаж",Минская,"•до центра 8,9 км",634111₽/м²,2-комнатная,12,13,"68,6м²","30,1м²","23,2м²",43500000
"Продажа 3-комнатной квартиры 70м², 20/25этаж",Лужники,"•до центра 5,7 км",385714₽/м²,3-комнатная,20,25,70м²,"43,4м²",9м²,26999999
"Продажа 3-комнатной квартиры 85,4м², 20/40этаж",Минская,"•до центра 7,2 км",758999₽/м²,3-комнатная,20,40,"85,4м²","52,6м²",6м²,64795740
"Продажа 3-комнатной квартиры 143м², 8/17этаж",Ломоносовский проспект,"•до центра 8,3 км",559441₽/м²,3-комнатная,8,17,143м²,100м²,30м²,80000000
"Продажа 4-комнатной квартиры 98м², 10/14этаж",Минская,"•до центра 8,9 км",612143₽/м²,4-комнатная,10,14,,,,59990000
"Продажа 2-комнатной квартиры 76м², 7/22этаж",Ломоносовский проспект,"•до центра 8,8 км",526316₽/м²,2-комнатная,7,22,,,,40000000
"Продажа 3-комнатной квартиры 82м², 12/17этаж",Раменки,"•до центра 9,8 км",357317₽/м²,3-комнатная,12,17,82м²,"57,3м²",10м²,29300000
"Продажа 2-комнатной квартиры 69,5м², 9/50этаж",Раменки,"•до центра 10,7 км",438849₽/м²,2-комнатная,9,50,"69,5м²",32м²,15м²,30500000
"Продажа 2-комнатной квартиры 62,7м², 8/15этаж",Раменки,•до центра 10 км,566188₽/м²,2-комнатная,8,15,"62,7м²",30м²,13м²,35500000
"Продажа 4-комнатной квартиры 165м², 40/53этаж",Ломоносовский проспект,"•до центра 6,8 км",779112₽/м²,апартаменты,,,,,,128553460
"Продажа 3-комнатной квартиры 84,7м², 6/12этаж",Минская,"•до центра 7,4 км",655870₽/м²,3-комнатная,6,12,"84,7м²","41,7м²","12,1м²",55558751
"Продажа 3-комнатной квартиры 60м², 21/39этаж",Аминьевская,"•до центра 11,5 км",580000₽/м²,,,,,,,34800000
"Продажа 3-комнатной квартиры 96м², 5/25этаж",Аминьевская,"•до центра 11,3 км",421875₽/м²,3-комнатная,5,25,96м²,"49,7м²","15,9м²",40500000
"Продажа 4-комнатной квартиры 129м², 10/11этаж",Раменки,"•до центра 9,9 км",542636₽/м²,4-комнатная,10,11,129м²,72м²,19м²,70000000
